 C      0.76
 O      0.66
 N      0.71
 S      1.05
 P      1.11
 H      0.31
CL      1.02
 K      2.03
NA      1.66
MN      1.61
CO      1.50
NI      1.24
CU      1.32
ZN      1.22
SE      1.20
BR      1.20
MG      1.41
CA      1.76
FE      1.52
LI      1.33
BE      1.02
 B      0.85
 F      0.64
NE      0.67
AL      1.26
SI      1.16
AR      1.07
SC      1.70
TI      1.60
 V      1.53
CR      1.39
GA      1.24
GE      1.21
AS      1.21
KR      1.21
RB      2.20
SR      1.95
 Y      1.90
ZR      1.75
NB      1.64
MO      1.54
TC      1.47
RU      1.46
RH      1.42
PD      1.39
AG      1.45
CD      1.44
IN      1.46
SN      1.40
SB      1.40
TE      1.38
 I      1.39
XE      1.40
CS      2.44
BA      2.15
LU      1.75
HF      1.70
TA      1.62
 W      1.51
RE      1.44
OS      1.41
IR      1.36
PT      1.36
AU      1.32
HG      1.45
TL      1.46
PB      1.48
BI      1.51
PO      1.50
AT      1.50
RN      1.50
FR      2.60
RA      2.21
LR      1.61
RF      1.57
DB      1.49
SG      1.43
BH      1.41
HS      1.34
MT      1.29
DS      1.28
RG      1.21
CN      1.37
FL      1.43
LV      1.75
LA      2.07
CE      2.04
PR      2.03
ND      2.01
PM      1.99
SM      1.98
EU      1.98
GD      1.96
TB      1.94
DY      1.92
HO      1.92
ER      1.89
TM      1.90
YB      1.87
AC      2.15
TH      2.06
PA      2.00
 U      1.96
NP      1.90
PU      1.87
AM      1.80
CM      1.69
BK      1.68
CF      1.68
ES      1.65
FM      1.67
MD      1.73
NO      1.76
HE      0.46
